Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Malabar Beach,6/1/2011,07:58:00,11,20,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/1/2011,08:11:00,35,21,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/1/2011,08:17:00,57,23,53100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/1/2011,07:46:00,12,,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/1/2011,09:30:00,7,23,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/2/2011,07:09:00,7,23,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/2/2011,09:22:00,6,22,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/2/2011,10:20:00,40,23,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/2/2011,08:01:00,300,,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,28/2/2011,08:07:00,100,,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/3/2011,07:26:00,25,,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/3/2011,07:08:00,11,22,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/3/2011,08:41:00,200,,52900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/3/2011,07:58:00,11,21,51900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/3/2011,08:13:00,38,22,52700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/4/2011,09:39:00,57,22,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/4/2011,10:26:00,2,22,52900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/4/2011,07:20:00,200,20,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/4/2011,07:56:00,24,20,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/4/2011,09:45:00,13,21,52600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/5/2011,08:40:00,10,19,52600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/5/2011,08:43:00,6,17,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/5/2011,11:40:00,0,18,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/5/2011,07:10:00,3,17,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/5/2011,06:46:00,4,17,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/6/2011,10:37:00,11,,5300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/6/2011,07:57:00,25,16,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/6/2011,09:20:00,22,18,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/6/2011,08:59:00,0,15,5410,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,28/6/2011,07:55:00,6,16,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/7/2011,08:46:00,23,17,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/7/2011,11:11:00,12,16,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/7/2011,07:09:00,120,16,54600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/7/2011,08:01:00,98,18,52700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,28/7/2011,09:09:00,3,16,51500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,3/8/2011,08:15:00,6,16,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,9/8/2011,10:13:00,48,16,52600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/8/2011,09:49:00,18,16,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/8/2011,06:35:00,7,16,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/8/2011,06:25:00,19,17,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/9/2011,08:49:00,220,16,52500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/9/2011,07:41:00,36,16,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/9/2011,08:40:00,5,16,54600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,20/9/2011,08:45:00,0,17,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/9/2011,08:05:00,90,16,51200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/9/2011,08:08:00,89,15,51300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,9/10/2011,09:09:00,35,18,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/10/2011,07:45:00,8,17,50800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,20/10/2011,10:26:00,1,18,50700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/10/2011,10:45:00,50,18,51100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/11/2011,08:29:00,12,17,50800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/11/2011,10:02:00,41,21,50400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/11/2011,09:21:00,79,20,48500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/11/2011,10:34:00,14,20,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,25/11/2011,07:38:00,800,17,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/12/2011,08:12:00,280,17,50300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/12/2011,07:00:00,400,18,51000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/12/2011,07:45:00,700,18,48700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,19/12/2011,07:45:00,3,19,50900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/12/2011,06:50:00,300,19,50000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/12/2011,08:23:00,20,21,50400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/1/2012,10:46:00,16,22,50400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/1/2012,08:30:00,40,19,51000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/1/2012,08:37:00,22,22,50600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/1/2012,09:21:00,110,22,51100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/1/2012,10:21:00,35,23,50600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/2/2012,07:39:00,330,21,50100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/2/2012,08:20:00,12,21,50100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/2/2012,10:24:00,6,23,49800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/2/2012,09:00:00,290,22,49500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/2/2012,08:31:00,330,21,48200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/3/2012,08:45:00,23,20,50000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/3/2012,08:16:00,31,21,49000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/3/2012,09:35:00,29,20,49000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/3/2012,08:04:00,19,18,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/3/2012,08:05:00,12,20,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/4/2012,08:12:00,82,21,50800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/4/2012,08:20:00,5,19,51400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/4/2012,08:24:00,630,20,43100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/4/2012,09:20:00,29,20,49900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/4/2012,07:28:00,31,19,50300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/5/2012,08:57:00,29,19,50000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/5/2012,09:39:00,31,19,50100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/5/2012,08:01:00,12,18,50900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/5/2012,09:17:00,4,18,50900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/5/2012,09:52:00,6,18,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/6/2012,10:20:00,38,18,53100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/6/2012,10:22:00,20,17,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/6/2012,10:34:00,18,17,52000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/6/2012,09:28:00,12,16,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/6/2012,10:40:00,26,17,52900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,3/7/2012,09:01:00,13,15,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/7/2012,10:20:00,17,17,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/7/2012,07:53:00,11,14,53000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/7/2012,07:20:00,29,17,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/7/2012,10:18:00,2,17,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/8/2012,10:25:00,6,17,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/8/2012,09:27:00,110,15,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/8/2012,09:25:00,1,16,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/8/2012,09:01:00,3,15,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/8/2012,06:38:00,14,,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/9/2012,06:47:00,3,,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/9/2012,08:45:00,11,16,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/9/2012,08:53:00,28,17,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,19/9/2012,08:50:00,8,17,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/9/2012,08:50:00,22,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/10/2012,08:14:00,16,16,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/10/2012,08:29:00,25,18,54100,-33.96436,151.252247
